layout_number,room_length_ft,room_breadth_ft,room_area_sqft,room_setup_type,num_windows,door_wall,window_wall_1,window_wall_2,total_price_npr,bed,table,chair,wardrobe,bookshelf,bedsidetable,dresser,dustbin,mirror
1,14.5,12.25,177.62,standard,2,east,south,north,16300,db,lt,pc,NA,NA,NA,NA,di,mr
2,12.75,9.5,121.12,budget,1,east,south,NA,12300,sb,lt,pc,NA,NA,NA,NA,di,NA
3,11,11,121,standard,2,north,south,west,22800,db,lt,pc,fw,wb,NA,NA,di,mr
4,10.75,9.75,104.81,budget,1,north,east,NA,16500,sb,mt,mc,fw,bb,NA,NA,di,mr
5,14.5,11.5,166.75,budget,2,north,west,east,18800,db,mt,pc,hw,wb,NA,NA,di,NA
6,13,11.75,152.75,standard,2,north,east,south,28000,sb,mt,mc,ww,bb,NA,NA,di,NA
7,12.25,10.5,128.62,luxury,2,south,east,west,55000,db,mt,ac,ww,NA,bt,dr,di,NA
8,13,12,156,budget,1,west,south,NA,14800,db,mt,pc,hw,NA,NA,NA,di,NA
9,14,10.5,147,budget,1,west,NA,east,14800,db,mt,pc,hw,NA,NA,NA,di,NA
10,11.75,10.5,123.38,standard,2,east,south,west,32000,db,lt,mc,ww,NA,NA,NA,di,mr
11,15,12.75,191.25,luxury,2,east,west,north,47500,kb,mt,ac,ww,NA,NA,NA,di,mr
12,12,9.75,117,budget,1,north,south,NA,17300,sb,mt,pc,hw,wb,NA,NA,di,mr
13,12,9.5,114,budget,1,south,NA,east,14300,sb,mt,pc,fw,NA,NA,NA,di,mr
14,13.75,10.75,147.81,budget,1,south,east,NA,13800,sb,mt,pc,hw,bb,NA,NA,di,NA
15,13,10,130,standard,2,south,east,north,29500,sb,lt,mc,ww,bb,NA,NA,di,NA
16,14.25,10.5,149.62,luxury,2,south,east,west,61000,db,lt,mc,ww,wb,NA,dr,di,NA
17,14.75,9,132.75,standard,1,north,NA,east,15000,sb,mt,mc,fw,NA,NA,NA,di,mr
18,15,13.5,202.5,budget,2,west,south,east,18000,db,mt,mc,fw,NA,NA,NA,di,mr
19,13.5,9.5,128.25,luxury,2,north,west,east,66000,db,mt,ac,ww,NA,bt,dr,di,NA
20,10.75,9.75,104.81,luxury,1,east,west,NA,43000,db,lt,mc,ww,NA,NA,NA,di,mr
